Timestamp,AccX,AccY,AccZ
761336608,4149,721,14044
761338504,1935,112,16836
761340388,-797,217,20048
761342280,1252,966,17580
761344184,495,1787,15056
761346084,3460,1274,11837
761347980,-1521,-177,17388
761349904,-2853,-1263,14604
761351832,-4355,-2517,15739
761353760,-1480,-2030,13270
761355672,-1095,170,20207
761357588,2945,1963,18028
761359492,-341,2093,20414
761361384,3424,766,16719
761363280,3404,440,13843
761365148,-77,408,14159
761367028,-502,510,16275
761368924,248,1028,14460
761370808,418,-430,14780
761372716,-2064,-2434,13623
761374640,-1778,-4188,18844
761376564,-4973,-3425,19480
761378480,1076,-798,17255
761380392,1697,1763,20664
761382304,5228,2476,16692
761384180,-52,378,18372
761386064,639,-673,14619
761387956,-255,-901,17645
761389840,2464,710,9716
761391700,86,488,18171
761393584,-565,147,12828
761395492,-3538,-1444,19936
761397420,-2787,-1665,16915
761399340,-951,-1191,16538
761401224,255,633,18544
761403132,2028,2778,18908
761405048,2313,3660,17452
761406956,1317,1579,14948
761408852,3255,-411,12095
761410764,1939,-929,17700
761412668,-1997,-701,19132
761414580,527,-1421,15659
761416496,-1042,-1704,14138
761418408,-622,-2290,15839
761420328,-3517,-2719,18359
761422260,-1082,-1498,19344
761424176,-1746,518,19560
761426092,4095,2273,11783
761428000,3218,2194,17623
761429908,2163,1941,13839
761431812,-2047,-583,21664
761433724,-704,-1222,14736
761435648,2166,-2032,10393
761437560,-889,-1003,14328
761439472,-2885,-356,17221
761441388,-1143,-489,18171
761443272,681,331,15727
761445152,609,263,17391
761447032,206,880,16636
761448924,171,2383,21831
761450824,2783,3049,15797
761452744,3277,1649,18580
761454648,2929,-771,16275
761456524,1,-2619,18332
761458432,-2265,-2403,16904
761460360,-2136,-2408,17536
761462284,1041,-1555,12256
761464188,-328,-886,18363
761466084,-541,-688,16968
761467984,-1802,-437,22899
761469892,1756,946,16499
761471796,4709,2255,16017
761473708,2422,2034,13251
761475596,1441,27,14128
761477480,-433,-927,15549
761479400,-1189,-2521,14271
761481328,-2637,-2767,12751
