Timestamp,AccX,AccY,AccZ,AccMagnitude,Z_score,Anomaly
850382128,1709,2057,17607,17808.940984797497,0.5998249756429351,0
850384044,3597,1883,13255,13862.868498258216,-1.1018043725061328,0
850385932,-59,1881,17734,17833.57502016912,0.610447689162437,0
850387828,-2786,1306,16822,17101.085228721597,0.294582704269619,0
850389736,-2306,-556,17464,17624.36007348919,0.5202298093448704,0
850391636,639,-147,10940,10959.631836882114,-2.353741006836055,0
850393508,4,-1362,18147,18198.040251631493,0.7676127529953681,0
850395404,198,-1344,17532,17584.554700077,0.5030648961702461,0
850397300,-296,-914,21840,21861.121014257253,2.3472101252146516,0
850399196,-343,-1848,15928,16038.514176818251,-0.16362025388183435,0
850401116,3189,-1779,13512,13996.739120237971,-1.0440765481965748,0
850403024,1736,-464,13294,13414.895750619906,-1.2949796314889832,0
850404924,174,1524,16308,16379.979120865813,-0.016373397130606353,0
850406832,1573,3149,16791,17155.996356959276,0.3182615362393679,0
850408740,1888,2087,16844,17077.48368466502,0.2844052226938756,0
850410640,-345,625,15723,15739.198804259384,-0.29269133000517733,0
850412512,234,-514,11312,11326.089174997696,-2.1957169047676874,0
850414420,-3816,-1806,19751,20197.165469441497,1.6296775409216957,0
850416348,-1035,-1997,18380,18517.117324248935,0.905205489302019,0
850418252,73,-1576,18636,18702.662938736827,0.9852166558758612,0
850420140,2456,-972,15559,15781.609582042003,-0.2744029117364028,0
850422044,-414,-1606,16872,16953.318731151136,0.2308626865059282,0
850423976,3152,-1612,13683,14133.581888537668,-0.9850670719603836,0
850425876,-1686,-43,18741,18816.735264120605,1.0344070388064297,0
850427784,3453,2539,12704,13407.510805514945,-1.2981641749478114,0
850429700,1393,2671,17804,18057.051420428532,0.706815407342299,0
850431608,1573,2015,15201,15414.439821154709,-0.43273422546922186,0
850433508,-3267,-843,18451,18756.95441696226,1.008628281743843,0
850435428,-1529,-1885,17163,17333.771516897297,0.3949219195836513,0
850437332,66,-2440,16036,16220.70442366792,-0.08505599231708856,0
850439240,1250,-2170,17320,17500.10857109178,0.4666499514602841,0
850441160,1946,-1506,16847,17025.75581288537,0.2620990777769227,0
850443056,-566,-102,17995,18004.18798502171,0.6840195835354426,0
850444944,809,699,15456,15492.934454131018,-0.3988856908565649,0
850446840,3130,-190,16353,16650.93417799734,0.10046811523825766,0
850448744,3511,173,12687,13164.992176222513,-1.4027433022914162,0
850450640,-793,1813,16619,16736.396834444386,0.13732140794312953,0
850452536,488,2442,15163,15366.134094169554,-0.45356466966455977,0
850454424,866,1820,15568,15697.929162790868,-0.31048766632438285,0
850456304,-227,-161,13219,13221.929170888792,-1.3781908741619175,0
850458220,-3729,-1871,14531,15118.070081858994,-0.5605350826529578,0
850460144,-1646,-2218,15928,16165.705181030613,-0.10877282106690443,0
850462072,-4329,-2165,20180,20752.34603605096,1.8690830634728552,0
850464000,2154,-1294,14455,14671.78165731756,-0.7529840261352215,0
850465908,1963,-161,16715,16830.64214461231,0.1779619654225479,0
850467804,3155,659,14264,14623.61111353827,-0.7737561764925064,0
850469704,1261,-453,15838,15894.576873890037,-0.22568904247899332,0
850471596,-214,-134,11224,11226.839626537827,-2.238515394918579,0
850473496,2522,721,11953,12237.423503335986,-1.8027303987250252,0
850475404,2789,2819,15311,15816.194327334246,-0.2594892430726139,0
850477324,-1098,2452,17292,17499.46204887453,0.4663711574992373,0
850479248,-3487,-1565,17496,17908.612732425703,0.6428055269440105,0
850481160,-503,-3849,11661,12290.107037776359,-1.780012151993936,0
850483080,-1608,-4112,17924,18459.793714990425,0.8804863448390504,0
850485008,-1710,-2410,18279,18516.31823554564,0.9048609054673487,0
850486920,-1993,659,20831,20936.496626704287,1.9484926664650957,0
850488828,1923,1915,19320,19509.678469928713,1.3332187052483906,0
850490740,2203,1856,14724,15003.137038632954,-0.6100966251975127,0
850492644,4495,461,13493,14229.497355845006,-0.9437063076388099,0
850494528,144,452,13678,13686.223876584805,-1.1779772440024137,0
850496416,673,2495,16836,17033.16911205898,0.2652958481057626,0
850498324,-1732,3073,17612,17961.784349000518,0.6657342449442174,0
850500248,2527,1411,13427,13735.391476037368,-1.156775142294471,0
850502164,-2003,-1223,15439,15616.352294950317,-0.3456653253565158,0
850504088,-2530,-2754,14638,15108.158723021148,-0.5648090687837362,0
850506016,-3962,-3134,21368,21957.022202475455,2.388564732093041,0
850507944,1588,-1731,16767,16930.752907062342,0.22113182913682405,0
850509852,1560,-354,19141,19207.72753346944,1.203011118608033,0
850511756,5092,1754,15188,16114.599715785682,-0.13081057121169548,0
850513652,2341,885,17556,17733.489278762936,0.5672886150478657,0
850515524,-46,-229,16209,16210.68283571053,-0.08937751155970827,0
850517408,-670,195,15063,15079.154286630268,-0.5773163910282215,0
850519284,44,900,14504,14531.963115835382,-0.8132767182773591,0
850521172,1981,869,15371,15522.47283779231,-0.3861481193328799,0
850523052,553,-577,15708,15728.318473377883,-0.2973831572355916,0
850524960,-1745,-2681,20859,21102.859213860098,2.0202317086910035,0
850526888,-1577,-4172,15339,15974.274130613885,-0.19132191124385334,0
850528800,988,-2534,19168,19359.998037189984,1.2686733584356547,0
850530704,-1266,-968,14578,14664.851311895392,-0.7559725366614217,0
850532628,3289,1249,17551,17900.14309998666,0.6391532435215765,0
850534524,965,3061,19576,19837.35672916127,1.474520453901651,0
850536420,3162,2250,16851,17292.10643617486,0.3769550615514829,0
850538320,1895,833,12840,13005.78771163054,-1.4713956117029054,0
850540216,2860,952,11528,11915.56494674088,-1.941522569351229,0
850542108,-2637,901,19238,19438.78118607234,1.3026463071676198,0
850544024,-1682,1252,11299,11491.91145980511,-2.124210852264103,0
850545936,-1396,-728,15451,15531.007726480597,-0.3824676960449862,0
850547840,861,-1845,12444,12609.460020159468,-1.6423004376005161,0
850549736,-667,-3265,19118,19406.262855068206,1.2886237197523562,0
850551656,-4135,-1973,18896,19443.501999382723,1.3046820210333634,0
850553576,-1649,-398,16559,16645.662678307523,0.09819493383787767,0
850555488,4608,166,14364,15085.944319133621,-0.5743883863800543,0
850557396,3802,1448,15588,16110.172314410545,-0.13271975968749433,0
850559308,1290,1592,16820,16944.34902851095,0.22699476230819152,0
850561196,-298,-14,15016,15018.963213218149,-0.6032720462687269,0
850563084,-921,-361,17164,17192.482601416235,0.3339951712862376,0
850564980,1939,-343,12796,12946.620640151623,-1.496909695799434,0
850566876,-405,-689,15303,15323.855748472706,-0.4717959804360561,0
850568780,-438,-1628,16796,16880.39821805161,0.1994178294751689,0
850570708,-1873,-2905,15080,15471.055361545314,-0.40832041517592393,0
850572624,-452,-1729,16815,16909.700470440035,0.2120535762337753,0
850574524,-590,-626,19159,19178.30172356249,1.1903220912519663,0
850576444,2941,1175,13915,14270.856000955233,-0.9258715910796709,0
850578348,2087,2101,15363,15645.815383034533,-0.3329602228673388,0
850580260,2587,2291,11908,12399.262639366907,-1.7329419636446488,0
850582172,1660,1306,19155,19271.09911240145,1.2303382746390235,0
850584080,2438,1448,11243,11595.067787641434,-2.079727676779529,0
850585968,-1227,87,13939,13993.170441326012,-1.0456154375077633,0
850587872,-3577,-653,15635,16052.244796289397,-0.15769932233785786,0
850589780,-2310,-588,19007,19155.884030761932,1.1806551112060233,0
850591692,-2342,-824,17795,17967.358320020227,0.668137858335817,0
850593600,593,-1707,13764,13882.117777918469,-1.093503678762582,0
850595500,-204,-1324,20404,20447.929186105863,1.7378121231379602,0
850597404,1528,-196,20084,20142.995209253266,1.6063181868176848,0
850599292,-230,845,18020,18041.267278104384,0.7000089536074141,0
850601204,3767,1991,12819,13508.557695031694,-1.2545906335779033,0
850603116,2523,1041,17183,17398.410818232795,0.42279574414504373,0
